name,system_code,mohs,sg,ri,ri_no,ri_ne,formula,carbonate,phosphate,sulphate,cyanide,nitrate,hydroxyl,acetate,ammonium,hydrated water,oxygen,silicon,fluorine,chlorine,bromine,iodine,system,group
Bayleyite,2.0,2.25,2.05,1.482,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Bazzite,5.0,6.75,2.81,1.621,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Hex/Trig,Silicate
Becquerelite,3.0,2.5,5.145,1.793,,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Benitoite,5.0,6.25,3.6,1.78,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Hex/Trig,Silicate
Benstonite,5.0,3.5,0.0,1.611,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Berborite,5.0,3.0,0.0,1.533,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Bergenite,2.0,2.5,0.0,1.6980000000000002,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Berlinite,5.0,6.5,2.65,1.528,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Bertrandite,3.0,6.5,2.595,1.6030000000000002,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Orthorhombic,Silicate
Beryl,5.0,7.75,2.76,1.582,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Beryllonite,2.0,5.75,2.8,1.557,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
